"variable",                  "source", "type"
"record_id",                 "db",     "integer"
"hf",                        "meta",   "character"
"hf_bombali",                "db",     "integer"
"hf_port_loko",              "db",     "integer"
"hf_tonkolili",              "db",     "integer"
"screening_date",            "db",     "Date"
"n_penta1",                  "db",     "integer"
"n_approached",              "db",     "integer"
"n_underweight",             "db",     "integer"
"n_over_age",                "db",     "integer"
"n_consent",                 "db",     "integer"
"n_screening_failures",      "db",     "integer"
"n_previously_invited",      "db",     "integer"
